s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
1,Hechi,40.7772,-73.8726,3275189.5,China,291099,1,Sarh,40.6397,-73.7789,135862,Chad,1
2,Hechi,47.6097,-122.3331,3275189.5,China,291099,2,Tandil,39.7392,-104.9903,84799.5,Argentina,1
3,Hechi,40.6397,-73.7789,3275189.5,China,291099,3,Victorville,40.7772,-73.8726,83496,United States of America,1
4,Hechi,47.6097,-122.3331,3275189.5,China,291099,4,Cranbourne,41.9786,-87.9047,249955,Australia,1
5,Hechi,40.7772,-73.8726,3275189.5,China,291099,5,Curico,40.6397,-73.7789,108074.5,Chile,1
6,Hechi,25.7753,-80.2089,3275189.5,China,291099,6,Dahuk,32.7767,-96.797,620500,Iraq,1
7,Hechi,25.7753,-80.2089,3275189.5,China,291099,7,Olympia,32.7767,-96.797,100950,United States of America,1
8,Hechi,47.6097,-122.3331,3275189.5,China,291099,8,Oostanay,40.75,-111.8833,223450.5,Kazakhstan,1
9,Hechi,47.6097,-122.3331,3275189.5,China,291099,9,Oran,37.8044,-122.2708,721992,Algeria,1
10,San Jose,25.7753,-80.2089,642862,Costa Rica,302064,10,Asheville,41.9786,-87.9047,105775,United States of America,1
11,San Jose,40.6397,-73.7789,642862,Costa Rica,302064,11,Asti,40.7772,-73.8726,63410.5,Italy,1
12,San Jose,47.6097,-122.3331,642862,Costa Rica,302064,12,Athens,37.7833,-122.4167,78017.5,United States of America,1
13,San Jose,39.7392,-104.9903,642862,Costa Rica,302064,13,Atlanta,47.6097,-122.3331,2464454,United States of America,1
14,San Jose,25.7753,-80.2089,642862,Costa Rica,302064,14,Atyrau,40.7772,-73.8726,170583,Kazakhstan,1
15,San Jose,47.6097,-122.3331,642862,Costa Rica,302064,15,Aurora,39.7392,-104.9903,273949.5,United States of America,1
16,San Jose,40.7772,-73.8726,642862,Costa Rica,302064,16,Babruysk,40.6397,-73.7789,212821.5,Belarus,1
17,Haifa,40.6397,-73.7789,639150,Israel,400017,17,Ballarat,40.7772,-73.8726,73404,Australia,1
18,Haifa,47.6097,-122.3331,639150,Israel,400017,18,Barnaul,40.6397,-73.7789,569711,Russia,1
