Airport	City	State	longitude	latitude	x	y
SEA	Seattle	WA	122.3331	47.6097	2451.831	4337.133
SFO	San Francisco	CA	122.4167	37.7833	2446.055	3069.067
DIA	Denver	CO	104.9903	39.7392	3650.177	3291.403
OAK	Oakland	CA	122.2708	37.8044	2456.136	3071.402
JFK	New York	NY	73.7789	40.6397	5806.809	3398.035
MIA	Miami	FL	80.2089	25.7753	5362.512	1911.750
DFW	Dallas	TX	96.7970	32.7767	4216.314	2549.123
LGA	New York	NY	73.8726	40.7772	5800.335	3414.569
SLC	Salt Lake City	UT	111.8833	40.7500	3173.887	3411.293
ORD	Chicago	IL	87.9047	41.9786	4830.750	3562.023
IAH	Houston	TX	95.3698	29.7604	4314.930	2263.708
